title,time,source,url,twid
COINTELEGRAPH：加密货币业务：比特币现货 ETF 的竞赛、华尔街新的加密货币交易所以及其他新闻,2023-06-24 05:26:04,Blogs,https://cointelegraph.com/news/crypto-biz-the-race-for-bitcoin-spot-etf-wall-street-new-crypto-exchange,
COINTELEGRAPH：波动性股票信托旨在上市杠杆比特币期货 ETF,2023-06-24 04:19:03,Blogs,https://cointelegraph.com/news/volatility-shares-trust-listing-leveraged-bitcoin-futures-etf,
解密：SEC 批准首个杠杆比特币期货 ETF,2023-06-24 02:38:32,Blogs,https://decrypt.co/145996/sec-approves-first-leveraged-bitcoin-futures-etf,
彭博社：比利时当局命令币安停止国家业务,2023-06-24 01:54:59,Blogs,https://www.bloomberg.com/news/articles/2023-06-23/belgian-authorities-order-binance-to-cease-country-operations,
THE BLOCK：Volatility Shares 表示，首个杠杆比特币期货 ETF 将于周二推出,2023-06-24 01:53:38,Blogs,https://www.theblock.co/post/236245/first-leveraged-bitcoin-futures-etf-will-launch-tuesday-volatility-shares-says,
区块：比利时监管机构命令币安停止在该国的服务,2023-06-24 01:21:56,Blogs,https://www.theblock.co/post/236239/belgium-regulator-orders-binance-to-stop-services-in-country,
COINDESK：市场监管机构责令币安立即停止在比利时提供加密服务,2023-06-24 00:50:46,Blogs,https://www.coindesk.com/policy/2023/06/23/binance-ordered-to-immediately-halt-offering-crypto-services-in-belgium-by-markets-regulator/,
Tree News (@News_Of_Alpha)：FSMA：命令币安立即停止在比利时提供所有虚拟货币服务 - RTRS,2023-06-24 00:33:41,Twitter,https://twitter.com/News_Of_Alpha/status/1672281784417939457,
COINDESK：赞助商称杠杆比特币期货 ETF 将于周二开始交易,2023-06-23 23:24:59,Blogs,https://www.coindesk.com/policy/2023/06/23/leveraged-bitcoin-futures-etf-to-start-trading-tuesday-sponsor-says/,
Tree News (@News_Of_Alpha)：美国最高法院裁定 Coinbase 因公司寻求将客户诉讼转入仲裁而中止法庭诉讼 - RTRS,2023-06-23 22:13:07,Twitter,https://twitter.com/News_Of_Alpha/status/1672246406281560064,
BINANCE.COM 博客：保持安全：如果您的账户遭到泄露该怎么办,2023-06-23 18:35:36,Blogs,https://www.binance.com/en/blog/community/stay-safe-what-to-do-if-your-account-gets-compromised-7592257838117542346,
THE BLOCK：分析师表示，贝莱德的比特币 ETF 应用是 TradFi 的“圣杯”,2023-06-23 18:01:09,Blogs,https://www.theblock.co/post/236111/blackrock-bitcoin-etf,
BINANCE.COM 博客：币安如何努力让受封锁司法管辖区的人们远离我们的平台,2023-06-23 15:23:15,Blogs,https://www.binance.com/en/blog/leadership/how-binance-fights-to-keep-people-in-blocked-jurisdictions-off-our-platform-1942426221780409327,
THE BLOCK：比特币波动性在 ETF 推动的反弹中卷土重来,2023-06-23 05:50:40,Blogs,https://www.theblock.co/post/236086/bitcoin-volatility-makes-comeback-amid-etf-fueled-rally,
Coinbase 路线图：添加 VeChain (VET)、VeThor (VTHO),2023-06-23 05:34:16,Coinbase,https://www.coinbase.com/blog/increasing-transparency-for-new-asset-listings-on-coinbase?v=1687469656661,
CZ 🔶 币安（@cz_binance）：@SajawalOnTech @BNBCHAIN @BinancePk @binance @Eljaboom @Nauman_Angel @PancakeSwap 酷,2023-06-23 02:05:48,Twitter,https://twitter.com/cz_binance/status/1671942572149800972,
连线：Coinbase 和 Binance 诉讼让加密货币陷入困境,2023-06-22 23:28:12,Blogs,https://www.wired.com/story/coinbase-binance-lawsuits-put-crypto-on-ice/,
CHAINWIRE：币安推出全新 Cristiano Ronaldo NFT 系列庆祝“山羊”,2023-06-22 22:30:08,Blogs,https://chainwire.org/2023/06/22/binance-celebrates-the-goat-with-new-cristiano-ronaldo-nft-collection/,
BINANCE.COM 博客：ForeverCR7：GOAT NFT 系列,2023-06-22 22:00:00,Blogs,https://www.binance.com/en/blog/nft/forevercr7-the-goat-nft-collection-7982005663615702426,
连线：美国证券交易委员会对币安交易的“严厉”指控对美国加密货币造成重大打击,2023-06-22 21:59:14,Blogs,https://www.wired.com/story/binance-is-in-deep-trouble/,
"变焦器（@zoomerfied）：[变焦器]

BITGO 放弃了购买竞争对手加密货币托管 PRIME 信托的计划",2023-06-22 21:47:30,Twitter,https://twitter.com/zoomerfied/status/1671877574266617858,
COINTELEGRAPH：由于政府要求高管提供证词，币安在巴西面临审查,2023-06-22 17:29:01,Blogs,https://cointelegraph.com/news/binance-scrutiny-in-brazil-as-government-demands-executive-testimony,
"彭博社：ETF 乐观情绪引发比特币飙升，价格在 30,000 美元附近徘徊",2023-06-22 10:26:29,Blogs,https://www.bloomberg.com/news/articles/2023-06-22/bitcoin-btc-surge-sparked-by-etf-optimism-pauses-around-30-000-mark,
TECHINASIA：50 个字：币安与银行合作伙伴在哈萨克斯坦推出受监管平台,2023-06-22 09:42:02,Blogs,https://www.techinasia.com/short/50-words-binance-debuts-regulated-platform-kazakhstan-bank-partner,
